Time Stamp,Tagname->,R1FI1001,R1FIC2203,R1FIC1002,R1FIC1005,R1FIC1006,R1FICA1108,R1TIC1010,R1TIC1016,R1TIA116X,R1TIA126X,R1TIA136X,R1TIA115X,R1TIA125X,R1TIA135X,R1TIA114X,R1TIA124X,R1TIA131X,R1TIA134X,R1TIA113X,R1TIA123X,R1TIA133X,R1TIA112X,R1TIA122X,R1TIA132X,R1TIA111X,R1TIA121X,R1TIA116Y,R1TIA126Y,R1TIA136Y,R1TIA115Y,R1TIA125Y,R1TIA135Y,R1TIA114Y,R1TIA124Y,R1TIA131Y,R1TIA134Y,R1TIA113Y,R1TIA123Y,R1TIA133Y,R1TIA112Y,R1TIA122Y,R1TIA132Y,R1TIA111Y,R1TIA121Y,R1TIA116Z,R1TIA126Z,R1TIA136Z,R1TIA115Z,R1TIA125Z,R1TIA135Z,R1TIA114Z,R1TIA124Z,R1TIA131Z,R1TIA134Z,R1TIA113Z,R1TIA123Z,R1TIA133Z,R1TIA112Z,R1TIA122Z,R1TIA132Z,R1TIA111Z,R1TIA121Z,R1TIA215X,R1TIA225X,R1TIA235X,R1TIA214X,R1TIA224X,R1TIA231X,R1TIA234X,R1TIA213X,R1TIA223X,R1TIA233X,R1TIA212X,R1TIA222X,R1TIA232X,R1TIA211X,R1TIA221X,R1TIA216X,R1TIA226X,R1TIA236X,R1TIA215Y,R1TIA225Y,R1TIA235Y,R1TIA214Y,R1TIA224Y,R1TIA231Y,R1TIA234Y,R1TIA213Y,R1TIA223Y,R1TIA233Y,R1TIA212Y,R1TIA222Y,R1TIA232Y,R1TIA211Y,R1TIA221Y,R1TIA216Y,R1TIA226Y,R1TIA236Y,R1TIA215Z,R1TIA225Z,R1TIA235Z,R1TIA214Z,R1TIA224Z,R1TIA231Z,R1TIA234Z,R1TIA213Z,R1TIA223Z,R1TIA233Z,R1TIA212Z,R1TIA222Z,R1TIA232Z,R1TIA211Z,R1TIA221Z,R1TIA216Z,R1TIA226Z,R1TIA236Z,R1AIA112,R1AIA113,R1AI114,R1AIA115,R1AI212,R1AI101A,R1AI101B,R1AI101C,R1AI101D,R1AI101E,R1AI105AA,R1AI105AB,R1AI105AC,R1AI105AD,R1AI105AE,R1AIA105AF,R1AI105BA,R1AI105BB,R1AI105BC,R1AI105BD,R1AI105BE,R1AIA105BF,R1TIC1101,R1PI1104
Time,Units->,TON/HR,TON/HR,TON/HR,TON/HR,TON/HR,TON/HR,DEGC,DEGC,2600,2500,2400,2300,2200,2000,1800,1600,1500,1400,1300,1200,1100,1000,900,800,700,600,2600,2500,2400,2300,2200,2000,1800,1600,1500,1400,1300,1200,1100,1000,900,800,700,600,2600,2500,2400,2300,2200,2000,1800,1600,1500,1400,1300,1200,1100,1000,900,800,700,600,2300,2200,2000,1800,1600,1500,1400,1300,1200,1100,1000,900,800,700,600,500,400,300,2300,2200,2000,1800,1600,1500,1400,1300,1200,1100,1000,900,800,700,600,500,400,300,2300,2200,2000,1800,1600,1500,1400,1300,1200,1100,1000,900,800,700,600,500,400,300,MOL %,MOL %,MOL %,MOL %,MOL %,MOL %,MOL %,MOL %,MOL %,MOL %,MOL %,MOL %,MOL %,MOL %,MOL %,MOL %,MOL %,MOL %,MOL %,MOL %,MOL %,MOL %,DEGC,KG/CM2
2019-10-02 9:00,,-0.001922077,0.547791421,-0.008869652,-0.049560547,0.027333617,15.97256565,360.980835,371.6429749,359.625,359.625,360.5,359.625,359.625,359.625,356.875,357.375,360.125,361,359.625,360.125,359.625,359.625,360.125,360.125,359.25,360.125,361,359.625,361.5,360.5,360.125,360.5,358.25,359.25,360.125,362.875,361,359.625,359.625,360.5,359.625,360.5,360.125,359.25,359.625,360.125,360.125,359.625,360.5,360.5,358.75,359.25,360.5,360.5,359.25,359.625,359.625,359.25,360.125,360.125,359.25,360.125,370.125,371.375,370.5,369.125,370.125,370.5,370.5,370.125,371,370.125,369.625,371.375,370.5,370.125,371.375,369.625,370.125,369.125,370.125,370.5,370.125,369.125,370.5,371,371,371,370.5,370.5,370.5,370.5,370.5,370.5,370.125,369.625,370.5,369.625,370.125,371.875,371,369.625,371,371,370.5,370.125,370.5,370.125,370.125,371,371,369.625,370.5,371.875,370.5,369.125,0,0,0.000129206,0,0.543612719,8.665351868,33.96798706,15.31314468,0.245518357,35.13784027,0.004281998,-0.012330299,0.00691437,-0.012111104,-0.007532989,0,0.004786679,0.050181448,9.61E-06,0.04095415,0.048870586,0.004578755,29.43981171,0.052351713
2019-10-02 9:10,,-0.002253996,0.523614645,0.020289566,-0.049527876,0.007604337,16.01393318,361.0950623,371.8858643,359.625,359.25,360.5,359.625,359.625,359.25,356.875,356.875,359.625,360.125,360.5,360.125,359.625,359.625,360.5,360.125,359.25,360.125,361,359.625,360.5,361,360.125,360.125,358.75,359.25,360.125,361.875,361,359.625,360.125,360.5,360.125,360.125,360.125,359.625,359.625,359.625,360.125,360.125,360.5,359.625,358.25,358.75,360.125,360.125,359.25,359.625,360.125,359.625,360.125,360.125,359.25,359.625,370.5,371,370.5,369.625,370.125,370.5,370.5,370.125,370.5,370.5,370.125,371,370.125,370.125,371,370.125,370.5,369.625,370.125,371,370.5,369.625,370.5,370.5,371,371,370.5,371,371,371,370.5,370.5,370.5,370.125,370.5,370.125,370.125,372.375,371,370.125,371.375,370.5,370.125,370.5,370.5,370.5,370.5,371,371,370.125,371.375,372.375,371,370.125,0.003052503,0.002136752,-0.000631809,0,0.547033787,8.698976517,34.07623291,15.33726501,0.271177649,35.50624847,0.004424765,-0.012341909,0.00700766,-0.010680366,-0.006857343,0,0.004891043,0.007256237,0.000153191,0.042770047,0.050354052,0.004578755,29.41396713,0.052130081
2019-10-02 9:20,,-0.002548313,0.554541707,0.0116242,-0.048906393,0.031458348,16.00176811,361.02005,372.1209717,359.625,359.25,360.5,359.625,360.125,359.625,356.875,357.375,359.625,360.125,359.625,359.625,359.625,359.25,360.125,359.625,359.625,360.125,361,359.625,362.375,361,360.125,361,358.75,359.25,360.125,362.875,361,359.25,359.625,360.5,360.125,360.125,360.5,359.625,359.25,360.125,359.625,359.625,360.5,359.625,358.75,359.25,360.5,360.125,359.25,359.625,360.125,359.625,360.5,360.125,359.625,360.125,370.5,371.375,370.5,369.625,370.5,370.5,370.5,370.5,370.5,370.5,370.5,371.375,370.5,370.125,371,370.125,370.5,370.125,370.5,371.375,371,369.625,371,371,371,371,371,371,371,371,371,371,371,370.5,371,370.5,370.5,371.375,371.375,370.125,371,371,370.5,370.5,370.5,370.5,371,371.375,371,370.125,371.375,372.375,370.5,370.125,0.003052503,0,-0.000161125,0,0.546327949,8.726164818,33.88964844,15.19945335,0.289536238,35.53645325,0.004233716,-0.012680071,0.006759708,-0.013881942,-0.010231317,0,0.004634063,0.114463776,4.66E-05,1.010754108,0.401726007,0.004578755,29.45757484,0.074023075
2019-10-02 9:30,,2.857471943,0.502672434,0.02339513,-0.049217276,0.016833439,16.00700951,361.0842285,372.2269287,359.625,359.625,360.5,359.625,359.625,359.25,356.875,357.375,360.125,360.125,360.125,360.125,359.625,359.625,360.125,359.625,359.25,360.125,360.5,359.25,361.875,360.125,360.125,361,358.25,359.25,359.625,362.875,361,359.625,360.5,360.5,360.125,360.125,360.5,360.125,359.625,360.125,360.125,360.125,360.5,360.125,358.75,359.25,360.125,360.125,359.625,359.625,360.125,359.625,360.125,360.125,359.625,360.125,370.5,371.375,370.5,370.125,371,371,371,370.5,370.5,371,370.125,371,371,370.5,371,370.5,370.5,369.625,370.5,371.375,370.5,369.625,371,371,370.5,371,371,371,370.5,371.375,370.5,370.5,371,370.5,371,370.125,370.5,371.875,371,370.125,371,371,370.5,370.5,371,371,371,371,371,370.5,371.375,372.375,370.5,370.125,0,0,-0.000297941,0,0.547926903,8.898357391,34.88151932,16.00385857,0.095649272,34.20957947,0.004407167,-0.012105644,0.00687466,-0.010801479,-0.007413314,0,0.004827555,0.007006003,0.000163919,0.041770186,0.048672874,0.004578755,29.39479065,0.073194772
2019-10-02 9:40,,2.933549881,0.547642112,1.928414345,0.43788141,0.013744587,15.98759079,361.5783691,372.5883179,361.5,362.375,363.75,361.875,362.375,361.875,358.75,360.125,362.375,362.375,362.875,361.875,361.5,361.5,361.5,362.875,361,362.875,361.875,362.375,362.375,362.375,362.875,361.5,359.25,361.5,364.125,362.875,363.75,361.5,364.125,363.75,362.875,362.375,363.25,361.875,362.375,362.375,361.5,361.875,362.375,361.875,360.125,361.5,361.875,361.875,361.875,362.375,362.375,362.375,362.875,362.875,361.875,362.375,371,371.875,371.375,370.5,371.375,373.25,372.75,372.375,373.75,373.75,371.875,374.125,372.75,372.375,373.25,371.875,374.625,372.75,371,372.375,371.375,370.5,372.375,373.25,372.75,372.75,373.25,373.25,372.75,373.25,372.75,373.75,374.125,373.25,373.25,371.875,371,371.875,371.875,371.375,372.375,373.25,372.75,372.75,372.75,373.25,373.75,373.25,372.75,372.75,373.25,375.5,372.75,372.75,1.608669162,0.598290622,-0.000241476,0,0.54799217,8.869415283,34.46404648,15.58821106,0.199148417,35.01462936,0.004310647,-0.012405318,0.00686644,-0.011429178,-0.00774652,0,0.004882732,0.006803154,3.96E-08,0.041108325,0.047301389,0.004578755,29.3565197,0.093887374
2019-10-02 9:50,,2.967908382,0.511563241,1.927570581,0.43871218,0.039300755,16.14755058,361.6091003,373.1989136,361.5,361.875,363.25,362.375,361.875,361.5,358.75,360.125,362.375,362.375,362.875,361.875,361.5,361.875,361,362.875,361,363.25,362.375,362.375,362.375,361.875,363.25,361.5,358.75,361.5,364.625,362.875,363.75,361.5,363.75,364.125,363.25,361.875,363.75,361.5,362.875,362.375,361.5,361.875,362.375,361.875,360.125,361,361.875,362.375,361.875,362.375,362.375,362.375,362.875,362.875,362.375,362.375,371.375,372.75,372.375,370.5,371.875,373.25,373.25,372.75,374.125,374.125,372.75,374.625,373.25,372.75,373.75,372.75,375,372.75,371.875,372.75,371.375,371,372.375,373.25,373.25,373.75,373.25,374.125,373.25,373.25,373.75,374.125,374.125,374.125,373.25,372.375,371.875,373.25,371.875,371.375,372.375,373.75,373.25,373.25,373.25,374.125,374.625,373.75,373.75,373.75,373.25,376,373.25,373.25,1.590354204,0.557692349,-3.97E-05,0,0.548222423,8.332632065,35.37921906,16.79727364,0.026378557,33.34958649,3.555093527,14.55289459,4.599383354,28.0114212,30.47374344,0,2.994602442,12.29228592,4.009516716,23.34831047,25.60500336,0.004578755,29.30659103,0.089308858
2019-10-02 10:00,,2.993940115,0.572734714,2.192708492,0.440057993,0.028847177,15.91750622,361.6585083,373.0309143,361.5,361.875,363.75,361.875,362.375,361.875,358.75,359.625,361.875,362.375,362.875,361.875,361.5,361.875,361.5,363.25,361.5,362.875,362.375,362.375,362.375,362.875,362.875,361.875,359.25,361.5,364.125,362.875,364.125,361.5,363.75,363.75,363.75,361.875,363.25,361.875,362.875,362.375,361.5,361.5,362.875,361.875,360.125,361,361.5,362.375,361.875,362.375,362.375,362.875,363.25,363.25,362.875,362.375,371.375,371.875,371.875,371,371,372.375,372.375,371.875,374.125,373.75,371.875,374.125,373.25,372.375,372.75,372.375,374.625,372.375,371.375,372.75,371.875,371.375,372.375,372.375,372.75,373.75,373.25,373.25,373.75,372.75,373.25,374.625,373.75,374.125,372.375,371.375,371.875,372.75,371.875,371.375,371.875,372.75,372.75,372.75,372.75,373.75,374.125,372.75,372.75,373.25,373.25,375.5,372.75,372.75,1.602564096,0.45726499,0.000121889,0,0.547615111,8.284217834,35.42902374,16.88188553,0.018302746,33.22571182,3.246585846,13.8041296,4.272319794,28.14306831,29.1949749,0,2.829907894,12.25680065,3.87075758,25.35505867,25.95503998,0.004578755,29.32936096,0.090062238
2019-10-02 10:10,,3.269975662,0.545882702,3.506696701,0.857333183,0.045855455,16.11317444,361.8899536,370.7875366,362.875,363.75,365.5,363.75,364.125,363.25,359.625,361.5,364.125,363.75,365.5,363.25,362.875,364.125,362.875,365.5,362.875,365.125,364.125,364.125,364.125,364.625,365.125,363.25,360.125,363.25,367.75,364.625,366,363.25,366.875,366.5,366,363.75,366.5,362.875,364.625,364.125,362.375,362.875,364.625,363.75,361,362.875,362.375,364.625,363.25,364.625,364.125,364.125,365.125,365.125,365.125,363.75,369.625,370.125,371,370.125,370.125,371,371,371,373.25,373.25,371,373.75,372.375,371.375,371.875,371.375,375,373.25,370.5,371.375,370.5,370.125,371,371,371,372.75,371.875,372.75,372.75,371.375,371.875,374.625,373.75,373.75,371.375,371,369.625,371.875,371.375,370.125,370.5,371.375,371.375,371.375,371.375,372.75,373.75,372.375,371.875,372.375,372.75,375.5,372.375,373.75,2.887668133,0.886752188,0.000179884,0.047313798,0.548149347,8.320311546,35.72546387,17.07704544,0.01151553,33.2706871,2.952882051,13.04740143,3.924372911,27.90528679,27.75396919,0,2.72644043,11.92334652,3.681016922,25.57779694,25.61064911,0.004578755,29.40517998,0.094031624
2019-10-02 10:20,,3.698090076,0.490489304,3.997818947,0.88645792,0.037732609,16.06884956,362.2014771,370.8192749,363.25,364.125,366.5,364.125,364.625,364.625,359.625,362.375,364.625,364.125,366.5,363.75,363.25,364.625,363.75,366.875,363.25,366.5,365.125,365.125,364.625,365.125,366.5,364.125,360.5,363.75,369.125,365.5,366.875,364.125,368.25,366.875,367.375,364.125,366.875,363.75,365.5,365.125,362.875,363.75,365.5,364.125,361.5,363.75,362.875,365.125,363.75,365.5,365.125,365.5,366.5,366.5,366,364.625,368.75,370.125,369.625,368.25,369.625,369.625,370.125,369.625,371,372.375,369.625,373.25,371.875,371,371.875,371.375,375,372.375,369.625,370.125,369.625,368.25,369.625,369.625,370.5,371,370.5,371.875,372.375,371,371.875,374.125,373.75,373.75,371.375,370.5,369.125,370.5,369.625,369.125,370.125,370.5,370.125,369.625,370.125,372.375,372.375,371.875,371.375,371.875,372.375,375,371.875,371.875,2.927350521,0.722222209,6.54E-06,0,0.547564566,8.23731041,35.86190796,17.28323936,0.000233249,33.14903259,2.625012875,12.21651077,3.395895958,28.63178253,26.92846489,0,2.334971428,12.35810947,3.028795719,25.09009743,24.89949226,0.004578755,29.36761665,0.079263821
